score,reple
10,나는 이런영화를 볼때마다 한국영화의 문제가 단지 기술력과 인력의 차이가 아니란걸 깨닫게 된다
10,'비밀을 가진 도머구'부터 급 재밌어짐ㅋ ㅋ ㅋ
10,""" 나와 기습거세꾼 "" 상반기 최고의 명대사다"
10,진짜 미치게호쾌하다. 피칠갑에 저급한대사가.난무하는데 영화는품격있다. 음악도예술. 나쁜새끼들끼리의 뜨거운한판.
10,쿠엔틴은 모든 요소를 B급으로 맞춰둔다. 그렇게 해서 나오는게 A다.
10,나쁜놈들 사이에 그나마 덜 나쁜놈에게 호감가게 만드는  타란티노의 천재성
10,타란티노 형 이름만 믿고 봐라.
10,대사를 통해 긴장감을 극대화하고 그것을 지루하지 않게 만드는 것은 쿠엔틴 타란티노가 최고다
10,요즘  빠른 영화에만 익숙한 세대들은 이 영화가 지루하고 재미 없고 댓글알바라는둥 이런소리 하는데..  영화를 한달에 극장가서 4편이상 10년동안 꾸준히 보고 있는 나같은 사람에게는 최고의 영화였습니다다.. 의견이 다를순 있으나댓글 알바소리는 그만좀
10,제대로 취향저격이네.. 대사들이 너무 맛깔난다.
10,티비드라마 수준의 한국영화에 수백만이 몰리고 이런수작은  상영극장찾기가 어려운 현실을 개탄 한국감독들 다 가서 봐라 타란티노의 수준을  이런게 영화라는거를
10,밖에는 하얀 눈밭 위 눈폭풍이 몰아치고 좁은 밀실에선 핏빛 대화가 몰아친다. 비밀을 가진 자들의 총 몇자루와 대화로 3시간 동안 펼치는 쿠엔틴의 핏빛 서스펜스 밀실 스릴러
9,문닫을때 나무판 두개!!두개붙여야돼!!! 깔깔깔!ㅋㅋㅋ
10,미국영화판엔 있고 한국영화판엔 없는 것...쿠엔틴 타란티노...
10,이름값을 한다는게 이런게아닐까.. 한국영화에 더렵혀진 눈과 귀가 정화되었다..
10,1점 때리는 녀석들은 지루하고 말많다고 1점때렸겠지....기나긴대화속의 숨겨진 비밀과 복선을 이해한다면 후반부50분의 피폭탄을 짜릿하다고 느낄 수  있을 것이다.
10,보안관 실신할때 나도 실신할뻔...최고의 영화:)
10,상영관좀 늘려주세요....
8,긴 러닝타임임에도 지루함을 못느꼈다. 적절한 음악과(특히 중간의 고요한밤 피아노씬 ㅋㅎㅎㅎ) 연기자들의 연기가 매우 굿
10,진짜 미친듯 ㅋㅋㅋ 주연급보다 오히려 조연급 배우들이 빛나는 순간들이 꽤 있었는데 그게 상당히 맘에든 영화였음 ㅋ
10,"촬영 배경이 초단순, 초저예산으로도 이렇게 까지 흥미진진하게 만들 수 있다는 것은 정말 대단한 일입니다. 대사와 인물의 관계가 이끌어가는 숨막히는 스토리 전개! 대박-"
10,"아주 재밌다. 이 영화를 추천할 기가 막힐 표현이 안떠올라 안타까운..큰 스케일도 아닌데 재미를 이만큼이나 뽑아내는 감독의 능력에 감탄... 두고두고 볼 영화입니다.. 적이 일순간 동지가 되는 미묘한 순간. 악이 선이 악이 섞여있는, 그저 감탄만"
