score,reple
10,"실제 출장시 이 영화와 매우 유사한 일을 겪은 사람으로써 한마디..정우성의 한국식 영어, 고원원의 중국식 영어는 정말 현실적인 영어다.두 사람 영어가지고 까지 마라. 정말 딱 저 정도 수준과 저 정도 감정이면 충분하다. 추억 돋게 만드는 영화!"
6,허진호 작품들은 매번 너무 좋다.
10,허진호 감독 최고의 영화라고 생각한다. 수채화 같은 사랑을 보여주는 영화.
10,한국판 '러브레터'.. 보면 볼수록 더 매력적인 명영화예요..^^
10,오늘같이 비오는밤  딱 어울리는 영화   고원원의 중국어를 듣고 중국어 배우기 시작했던 추억이 떠오른다 ..   다운로드 해놓고 가끔씩 꺼내보고 싶은 영화
7,호날두가 안나와서 7점
2,우리형 호우 !!!!~
10,우리형이 출연한 영화인데 당연히 10점 줘야지
9,로맨스영화가 이정도면 수작이지...정우성도 멋지고 고원원 진짜 매력있다.
9,노란자전거로 그들의 사랑은 계속되네
10,호우시절 호우호우!  너도나도 우리형!
9,왜 이제야 봤을까...오랜만에 아름다운 영화 한 편 본 것 같네요
9,국제 연애를 해보지 못했다면 이해하기 어려운 영화.  한 컷 한컷에 감정 이입 할 수 있는 영화 였던것 같아요. 스토리가 느릿 느릿하게 흘러가서 잔잔함이 느껴집니다.  후반/ 결말 진행이 좀 더 알찼으면 하는 아쉬움이 남네요.
10,주인공들 영어 충분히 잘한다. 현실에서는 그들보다 더 못하는영어 실력으로도 충분히 감정을 전달하고 사랑을 할 수 있다. 언어가 사랑의 국경은될 수 없다는 것. 두고두고 꺼내 볼 아름다운 추억같은 영화. 그래서 고맙고 또 고마운 영화.
10,호날두가 좋아한다는 그영화
10,우연히 보게된 호우시절이라는 영화 감명깊게 봤습니다 보고보고또 보고있으니배우들한데 빠지고 배음에 빠지고 순간이나마 잡스러운 생각을 잊게만드는영화네요 감독님께감사하고 배우들에게 감사하고 이영화에 감사합니다
7,cr7이라 7점 드립니다. 크리스티아노 호~우날두!
10,호우호우~~ 우리형 다큐 아니었나 ? 어쨋든 호우호우
10,진작에 못보다니 두근두근하고 예쁜영화
10,좋은 비는 때를 알고 내리는 것처럼. 좋은 영화 그리고...
10,정우성은최고의배우다.적어도나한테는
7,이 영화를 호날두에게 바칩니다.
10,난    이 영화가 참 좋다.간절해서 좋고 잔잔해서 좋고.좋은비는 때를 알고 내린다.두보의 말처럼사랑도 때가 있는것 같다.
9,정우성 나온 영화중 가장 훌륭한.. 그리고 허진호감독 참 영화 좋게 잘만드네
10,나만 실검에 호우시절뜨길래 호날두 생각하고 눌러봤냐? 호날두 만날 호우! 외치던 호날두 전성기 재조명되서 나온 줄 알았다.
1,메우시절로 바뀌주삼~
10,크리스티아누~ 호우!!!
10,호우시절이라면 CR7의 전성기를 말하는 것이 아닌가?
10,호우형 나와주세요부탁드릴게요 호우형
9,수준 낮은 사람들이 말도 안되는 평을 올려놨네요. 축구얘기를..영화평이 장난입니까? 배우 연기도 좋고 연출도 좋고 가끔 다시 생각나는 좋은 영화에요. 설렘이 느껴지는 영화.
7,7점드립니다 호우!!
10,날두 이제는 널 잊겠어....
1,호우시절은 2019. 07. 26 날짜로 종료됐습니다. 여러분의 그동안 성원에 감사드립니다. 조만간 후속작 메시시절로 찾아뵙겠습니다.
7,잔잔하고 현실성있음...
9,영화가 끝나야  그들의 사랑이 다시 시작된다
8,인연이 되려고 하면.. 그리고 여배우가 매력적이었다..
10,첫번째 중국 여자친구였던 에이미를 추역하게 만드는 영화~
8,그냥 졸적이겠거니 하고 본영화인데 진짜 잔잔하고 비지엠도 좋고 감정선도 좋고 ㅠㅜ 나도 저런 연애 해보고 싶다 ! 정우성 보다 고원원 미모애 감탄했음 !! 좋드아
10,영어 저정도면 충분히 잘하는거지 ㅋㅋ 지들은 더 못하면서 영어가꼬 까면 곤란하지 ㅋㅋㅋ
10,그럼에도 우리가 다시 사랑하게 되는 이유
1,이시국에? 호우는 아니지..
10,사소한 부족한 점  따질 필요가  없는  그냥 애절한 아련함으로 추억의 그림 같은 영화...
8,주인공 비주얼좀 보소... 훈훈하네~~
10,정말 재밌어야 한번 더 보는 내가 5번 본 영화. 고원원 세상에서 제일 예쁜여자.
10,몇번을 보게되는 사랑영화내요
10,지난날이 그리워 지는 영화입니다
6,두사람의 현실적인 영어대사가 볼만했다.
10,너무좋아 너무좋아 너무좋앙ㅠ
10,지난 여자친구의 기억을 찾게 된 영화...재미있게 봤습니다~
10,섬세한 감정연기에 엄지척
10,아쉽게 끝나는  보세요...
10,잔잔하고 매력적인 분위기에 취하는 영화..
10,잔잔.아련.그리고 어울림이 참 좋음.
10,때를 알고 내리는 좋은 비
10,파스텔톤의 러브스토리??
10,좋은영화 따뜻하고 여운이 긴 영화
10,정우성이라는 배우를 다시 보게된 영화. 허진호 감독의 영화는 다 좋다~
8,좀 아쉽다...여주인공 이쁘네...
10,고원원 참 사랑스런 여자네요
10,잔잔히..아련히..이따금씩 생각나는 영화입니다 :)
10,아름다운 수채화 같은 한폭의 그림을 보는 것 같았음
8,처음부터 다시 한 걸음씩
5,평론가가 딱 좋아할 영화. 개인적으론 노잼영화.
10,미국 이민와서 처음 대만인 여인과 사랑이란걸 해보았다. 그녀는 졸업후 귀국해야 했고 나는 미국에 남아야 했다. 헤어지기전 그녀가 마지막으로 한말이 기억난다. 우리는 단지 때가 맞지 않을 뿐이라고. 이 영화를 보고 다시 봄비는 내린다는 희망이 생긴다.
10,"진짜 멍청한 축구팬들...감독이 열심히 찍은 영화에 말도 안되는 이유로 별점 테러하고 가네..가정교육 어떻게 받은지 보인다, 지들끼리 가사에서나 싸울것이지, 적어도 남한테 피해는 주지 말아야지"
2,이시국에??.??.??
2,메우시절로 바꿔주시길 바랍니다
6,지금은 메시시대입니다
1,호우??   제정신인지..ㅉㅉ
1,이 시국에 호우? 매우시절로  정정해라
7,CR7 우리형 호우!!
9,나온지 한참만에 봤는데 참 싱그럽고 예쁜 영화입니다. 팬더곰도 귀엽고.. 영어...얘기하는데.. 정우성보다는 고원원이  한참 더 모자랐습니다.. 청두 올 로케.. 배우들 연기 너무 좋았습니다.
10,우리 형 세레머니랑 이름이 같아서 별점 10점 줍니다
10,
10,"봄이 오니 꽃이 피고, 비가 내리니 사랑이 돌아오고"
9,한중합작을 떠나서 짜임새 있게 잘 만들어진 멜로 영화
8,남편 잃은 외로운 과부가.. 옛 친구 만나서 꼬리치는 이야기
6,약간 눅눅하고 꿉꿉하다..ㅋ
10,호구시절.. ㅠㅠ 감동적이다.. 호구성님..
6,촉촉하게 스며들다
7,스토리를 떠나서 솔직히 설레어지기보단 좀 오글거렸다.
10,평점에 신경쓰는 타입인데 평점보지 말고 꼭 보고 감동 받기 바랍니다. 참고로 전 30대ㅋ
8,"사천, 청두, 중국을 생각하게 하는 영화. 고원원 매력적, 정우성 신사적...중국의 고요함과 진실됨을 보는 느낌. 좋았어요."
7,과장되거나 오버하지 않는 풋풋한 영화 . 다만 영어발음이 거슬리긴 했음
10,최고의영화... 너무좋다...
10,정말 아름답고 애틋한 영화였습니다스토리 진행도 여유있으면서 잔잔해서 그런지저를 내려 놓고 감상하게되었네요좋은 영화 잘봤습니다
10,"여러번을 본 영화, 또 가끔 생각나는 영화"
6,아직도 의문인게 왜 가을에 이 영화를 개봉했을 까요? 분명 봄에 어울리는 영화 였는데 궁금하네요.
10,최고! 자꾸만 보고싶게 만드는 영화다.... 볼때마다 아련하고 기분좋아지게 만드는.
10,역시정우성이다  로매틱무비 액션무비 다잘소화해
9,무엇보다 영상미가 좋다. 분위기도 좋고...  또한 스토리와 감정에 있어 과잉이나 억지스러움이 없다.
10,저는 두산맨일수도 아닐수도 있습니다.
9,잔잔하면서 담백하고 여운이 있는 영화^^
7,배경이 중국이어서 그런지 예전의 허진호 작품과는 느낌이 좀 다르다.
10,옛추억이 되살아나는 영화네요  고원원 연기 너무리얼하네요
9,시간이  잔잔하면서  조용하게...  천천히 내곁을 지나가는 느낌 !!!
8,잔잔한 느낌에 밝고 평온한 감성 멜로. 고원원이란 배우를 알게 해준 영화.
10,"봐도 봐도  가슴 아리는 영화, 감성적이고 과거의 추억에 젖고 싶을  때 강력 추천합니다."
8,중국엔 사람들이 많으니 미녀의 종류도 다양하구나 이제껏 모르던 여성의 새로운 아름다움을 알려 준 것만으로도 이 점수는 된다 지루하지만
10,정말재밌게보았습니다 아무생각없이 감상에젖으며 볼수있는 영화인것 같네요
