score,reple
10,본명으로 나오는거 은근 재밌네ㅋㅋㅋㅋ 장률 감독 느낌 물씬! 이번에도 역시 좋았다
10,"세 조합 너무 좋았다,, 장률 감독님 더 자주자주 작품 보여주세요 ㅠㅠㅠ"
1,그저 한심하기 그지 없는 영화
6,박소담 보러 갔지모야 감독님 지켜볼게요 응원하겠습니다 加油~!  : )
10,윤동주님의 시까지 후쿠오카 분위기 그대로 전달 되었네요세분의 잔잔한연기 영화보는내내  행복했습니다
10,롱테이크가 많아서 연극한편 본거 같네
10,"경주, 군산 다 재밌게 봤는데 이번에도 역시..! 배우 조합고 좋고 연출도 너무 좋았다"
10,ㅠㅠ장률감독님 영화는 늘 분위기 취저....연출도 넘 좋았고 소소하게 웃으면서 봤다ㅠㅠ
10,역시는 역시ㅠ 스크린의 모든 순간이 빛이 나는 영화였다
1,음주운전 3회 윤제문.. 관객을 우롱하는 건가요?
10,연기 너무 좋았어요!!  꼭 추천드려요~  다른작품들도 궁금해지는 영화였습니다 !!
9,장률감독 특유의 매력이 잘 묻어난 영화! 박소담 배우까지ㅠㅠ
10,반짝반짝 빛나는 박소담의 연기ㅠㅠ 넘 좋았다
10,"깊이가 다르네... 지루할 틈이 없는 영화, 최고예요!"
9,이거 왜 재미있지? ㅋㅋㅋ 유머코드 머선 일이고~
1,시간낭비 그리고 후쿠오카는 무슨  죄냐
10,"말로 표현하기 어려운.... 그러나 누구나 느끼고 있는.. 사람들과간에 느끼는 감정, 공감등을 너무나 잘 보여준다..."
10,잔잔하고 편안한 분위기에 박소담 님의 빛나는 연기까지 너무 좋았어요
